2.0331 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.0621 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.0208 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017FC71BF1C0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000017FC8151820>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.0210 	EXP 	window1: mouseVisible = True
8.0212 	EXP 	window1: mouseVisible = False
8.0212 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.0213 	EXP 	window1: recordFrameIntervals = False
8.1864 	EXP 	window1: recordFrameIntervals = True
8.3702 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
8.3703 	EXP 	window1: recordFrameIntervals = False
10.8068 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
10.8432 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.8522 	EXP 	Imported discounting.xlsx as conditions, 7 conditions, 3 params
10.8529 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
10.8533 	EXP 	New trial (rep=0, index=0): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
10.9297 	EXP 	text: height = 0.05
10.9297 	EXP 	text: height = 0.05
10.9297 	EXP 	text: height = 0.05
10.9297 	EXP 	text: text = 'GBP 67 today  or GBP 75 after 119 days'
10.9297 	EXP 	fixation: autoDraw = True
11.8527 	EXP 	text: autoDraw = True
11.8554 	DATA 	Keypress: return
